question_id,category,qa_type,difficulty,question,option_1,option_2,option_3,option_4,answer,hint
3014,Object-Oriented Programming,Short Answer,Easy,A _____ is a function that belongs to an object or a class. ,method,Null,Null,Null,method,m____d
3015,Object-Oriented Programming,Short Answer,Medium,A _____ is a class that inherits the attributes and methods of another class. ,subclass,Null,Null,Null,subclass,s______s
3016,Object-Oriented Programming,Short Answer,Medium,A _____ is a class that is inherited by a subclass. ,superclass,Null,Null,Null,superclass,s________s
3017,Object-Oriented Programming,Short Answer,Hard,An _____ is a class that cannot be instantiated. ,abstract class,Null,Null,Null,abstract class,a______t c___s
3018,Object-Oriented Programming,Short Answer,Hard,An _____ is a class that defines a contract for its subclasses. ,interface,Null,Null,Null,interface,i_______e
3019,"Algorithms and Big ""O""",Short Answer,Easy,A _____ algorithm has a time complexity of O(log n). ,logarithmic,Null,Null,Null,logarithmic,l_________c
3020,"Algorithms and Big ""O""",Short Answer,Easy,A _____ algorithm has a time complexity of O(n^2). ,quadratic,Null,Null,Null,quadratic,q_______c
3021,"Algorithms and Big ""O""",Short Answer,Medium,A _____ algorithm has a time complexity of O(n log n). ,merge sort,Null,Null,Null,merge sort,m___e s__t
3022,"Algorithms and Big ""O""",Short Answer,Medium,A _____ data structure is a linear collection of elements in which a new element is added at one end and an existing element is removed from the other end. ,queue,Null,Null,Null,queue,q___e
3023,"Algorithms and Big ""O""",Short Answer,Hard,A _____ is a technique used to improve the time complexity of a recursive algorithm by storing the results of expensive function calls and returning the cached result when the same inputs occur again. ,memoization,Null,Null,Null,memoization,m_________n
3024,"Algorithms and Big ""O""",Short Answer,Hard,A _____ is a technique used to improve the time complexity of a problem by breaking it down into smaller subproblems and storing the solutions to these subproblems to avoid redundant calculations,dynamic programming,Null,Null,Null,dynamic programming,d_____c p_________g
3025,Software Design Patterns,Short Answer,Easy,The _____ pattern is a creational design pattern that allows only one instance of a class to be created. ,singleton,Null,Null,Null,singleton,s_______n
3026,Software Design Patterns,Short Answer,Easy,The _____ pattern is a behavioral design pattern that allows objects to notify other objects about changes in their state. ,observer,Null,Null,Null,observer,o______r
3027,Software Design Patterns,Short Answer,Easy,"In the Model-View-Controller design pattern, the ___ handles user input and updates the model and view. ",controller,Null,Null,Null,controller,c________r
3028,Software Design Patterns,Short Answer,Medium,The _____ pattern is a structural design pattern that allows objects to be used interchangeably. ,adapter,Null,Null,Null,adapter,a_____r
3029,Software Design Patterns,Short Answer,Medium,"The _____ pattern is a behavioral design pattern that allows multiple objects to handle a request, with the decision of which object to handle it being made at runtime. ",chain of responsibility,Null,Null,Null,chain of responsibility,c___n of r____________y
3030,Software Design Patterns,Short Answer,Medium,The _____ is responsible for displaying the data to the user,view,Null,Null,Null,view,
3031,Software Design Patterns,Short Answer,Hard,The _____ pattern is a behavioral design pattern that allows objects to separate their responsibilities and interactions with one another. ,mediator,Null,Null,Null,mediator,m______r
3032,Software Design Patterns,Short Answer,Hard,The _____ pattern is a behavioral design pattern that allows an object to change its behavior at runtime based on different states. ,state,Null,Null,Null,state,s___e
3033,Software Design Patterns,Short Answer,Hard,The _____ is responsible for updating the model when the view changes and updating the view when the model changes. ,controller,Null,Null,Null,controller,c________r
3034,"History of Tacoma, UW, and UWT",Short Answer,Easy,The University of Washington Tacoma is located in the ___ of Tacoma. ,downtown,Null,Null,Null,downtown,d______n
3035,"History of Tacoma, UW, and UWT",Short Answer,Easy,The University of Washington mascot’s name is a ___. ,husky,Null,Null,Null,husky,h___y
3036,"History of Tacoma, UW, and UWT",Short Answer,Easy,The City of Tacoma is located in which county ___.? (,pierce,Null,Null,Null,pierce,p____e
3037,"History of Tacoma, UW, and UWT",Short Answer,Easy,The acronym for University of Washington Tacoma is ___. ,uwt,Null,Null,Null,uwt,u_t
3038,"History of Tacoma, UW, and UWT",Short Answer,Medium,The City of Tacoma is located in the ___ region of Washington. ,south puget sound,Null,Null,Null,south puget sound,s___h p___t s___d
3039,"History of Tacoma, UW, and UWT",Short Answer,Medium,The seat of Pierce County is the City of ___. ,tacoma,Null,Null,Null,tacoma,t____a
3040,"History of Tacoma, UW, and UWT",Short Answer,Medium,The University of Washington football team plays its home games at ,husky stadium,Null,Null,Null,husky stadium,h___y s_____m
3041,"History of Tacoma, UW, and UWT",Short Answer,Hard,The City of Tacoma is the ___ largest city in Washington. ,third,Null,Null,Null,third,t___d
3042,"History of Tacoma, UW, and UWT",Short Answer,Hard,The first branch campus of th eUniversity of Washington was in _____.,bothell,Null,Null,Null,bothell,b_____l
3043,"History of Tacoma, UW, and UWT",Short Answer,Hard,"Tacoma derives from  _____, the native name of Mt. Rainier.",tahoma,Null,Null,Null,tahoma,t____a
1001,General Computer Science,True or False,Easy,Computer science is not the study of the theory and application of computers. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1002,General Computer Science,True or False,Easy,The first electronic computer was created in the 19th century,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1003,General Computer Science,True or False,Medium,The Turing machine is a theoretical model of a general-purpose computer that can perform any calculation that is algorithmically solvable. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1004,General Computer Science,True or False,Medium,The Von Neumann architecture is a design model for computers that separates the memory and processing units. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1005,General Computer Science,True or False,Hard,"The P vs NP problem is a computational problem that asks whether every problem whose solution can be verified in polynomial time, can also be solved in polynomial time. ",TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1006,General Computer Science,True or False,Hard,"The Halting problem is a problem that asks whether, given a description of an arbitrary computer program, it is possible to decide whether the program finishes running or continues running forever. ",TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1007,Python3 Syntax,True or False,Easy,"In Python, a variable must be declared before it can be used. ",TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1008,Python3 Syntax,True or False,Easy,The print function in Python requires parentheses. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1009,Python3 Syntax,True or False,Medium,"In Python, a variable declared with the ""global"" keyword can be accessed and modified inside a function. ",TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1010,Python3 Syntax,True or False,Medium,The range() function in Python includes the end value. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1011,Python3 Syntax,True or False,Hard,The pass statement in Python can be used as a placeholder for a function or loop that is not yet implemented. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1012,Python3 Syntax,True or False,Hard,The del keyword in Python cannot be used to delete a variable from memory. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1013,Object-Oriented Programming,True or False,Easy,"In object-oriented programming, a class is a blueprint for creating objects. ",TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1014,Object-Oriented Programming,True or False,Easy,"The main advantage of object-oriented programming is small, concise programs. ",TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1015,Object-Oriented Programming,True or False,Medium,Polymorphism in object-oriented programming allows objects of different classes to be treated as objects of a common class. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1016,Object-Oriented Programming,True or False,Medium,Inheritance in object-oriented programming allows a subclass to inherit the attributes and methods of its superclass. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1017,Object-Oriented Programming,True or False,Hard,"In object-oriented programming, encapsulation is the ability of an object to display its internal state and behavior from the outside world. ",TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1018,Object-Oriented Programming,True or False,Hard,"In object-oriented programming, abstraction is the ability of an object to provide a simplified interface to its users. ",TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1019,"Algorithms and Big ""O""",True or False,Easy,Big O notation is used to measure the time complexity of an algorithm. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1020,"Algorithms and Big ""O""",True or False,Easy,A quadratic time algorithm has a time complexity of O(n). ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1021,"Algorithms and Big ""O""",True or False,Medium,The best possible time complexity for an algorithm is O(n^2). ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1022,"Algorithms and Big ""O""",True or False,Medium,The best-case time complexity for an algorithm is represented by Big O notation.,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1023,"Algorithms and Big ""O""",True or False,Hard,An algorithm's time complexity can be described by more than one Big O notation. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1024,"Algorithms and Big ""O""",True or False,Hard,The average time complexity for an algorithm is represented by Big Theta notation. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1025,Software Design Patterns,True or False,Easy,Design patterns are reusable solutions to common problems in software development. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1026,Software Design Patterns,True or False,Easy,Design patterns are specific to a particular programming language. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1027,Software Design Patterns,True or False,Easy,The Model-View-Controller design pattern is a way to separate the logic of an application into three interconnected components. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1028,Software Design Patterns,True or False,Medium,Design patterns are a set of best practices for software development. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1029,Software Design Patterns,True or False,Medium,Design patterns are only used for large-scale software development projects. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1030,Software Design Patterns,True or False,Medium,The Model-View-Controller design pattern is used mainly in web development,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1031,Software Design Patterns,True or False,Hard,Design patterns are a one-size-fits-all solution to software development problems. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1032,Software Design Patterns,True or False,Hard,Design patterns are only used in object-oriented programming. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1033,Software Design Patterns,True or False,Hard,"The Model-View-Controller design pattern is a way to separate the logic of an application into three interconnected components, with the Model being responsible for updating the View and the Controller. ",TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1034,"History of Tacoma, UW, and UWT",True or False,Easy,The University of Washington Tacoma was founded in the 1990s. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1035,"History of Tacoma, UW, and UWT",True or False,Easy,"The City of Tacoma is located in King County, Washington. ",TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1036,"History of Tacoma, UW, and UWT",True or False,Easy,The University of Washington Tacoma was founded in the 2000s. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1037,"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma is located on Commencement Bay,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1038,"History of Tacoma, UW, and UWT",True or False,Medium,The University of Washington football team won the National Championships in 1991. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1039,"History of Tacoma, UW, and UWT",True or False,Hard,The City of Tacoma was officially incorporated in 1875. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1040,"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington football team has won a Rose Bowl seven times. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1041,"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was originally a logging town. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1042,"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was named after the nearby Mount Rainier. ,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1043,"History of Tacoma, UW, and UWT",True or False,Medium,The City of Tacoma was named after the nearby Mount Tacoma. ,TRUE,FALSE,Null,Null,FALSE,"Really, you need a hint?"
1044,"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington Tacoma's student body president is Jai'Shon Berry.,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1045,"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington Tacoma's Chancellor is Dr. Sheila Edwards,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
1046,"History of Tacoma, UW, and UWT",True or False,Hard,The University of Washington football team’s Head Coach is Kalen DeBoer.,TRUE,FALSE,Null,Null,TRUE,"Really, you need a hint?"
